date,latitude,longitude,rainfall_mm,source
2023-01-01,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-02,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-03,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-04,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-05,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-06,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-07,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-08,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-09,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-10,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-11,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-12,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-13,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-14,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-15,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-16,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-17,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-18,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-19,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-20,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-21,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-22,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-23,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-24,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-25,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
2023-01-26,23.7536,86.4167,0.0,"NASA POWER Daily Agroclimatology API (Point 23.7536 N, 86.4167 E)"
