epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,val_precision,val_recall,val_accuracy,epoch_time_s
1,0.7835184105417945,0.34078048328554306,0.20888644722613375,0.7785022304608271,0.3264311087131472,0.1978367875456574,0.7061646954879297,0.21714528633717006,0.9646521837283403,143.53746151924133
2,0.6718804714354601,0.4429967628728218,0.28713324952674874,0.6669068198937637,0.4156173349394179,0.2632149726353585,0.2708115792078894,0.9035001208917635,0.8972067221617087,121.86626434326172
3,0.5921333079988306,0.4831929105539365,0.32177755250462226,0.5645292447163508,0.5777907355765763,0.40841391533547966,0.4584647708507474,0.7888289324642836,0.9533649835831081,113.05962300300598
4,0.5306322547522458,0.5015602047766248,0.33800690824926033,0.561578998198876,0.569804304528999,0.4026673029880125,0.6167319986905233,0.5382678226359078,0.9677457564916365,132.94481492042542
5,0.48009040545333515,0.5206902132000847,0.3550932936944128,0.5923453408938187,0.3498616352483194,0.21666149186193226,0.21983123349852984,0.9530052366511448,0.8289226629795172,3622.5916273593903
6,0.4407372129234401,0.5376521032143028,0.3712964466875172,0.44936370161863476,0.5174547754671333,0.35126528647729766,0.3638924192253695,0.9129098518757259,0.9295880244328425,140.67717027664185
7,0.42147537049922074,0.5471831511750195,0.37974442708977885,0.48404693374266994,0.4248868508488065,0.27330017603235146,0.278013851366321,0.9480259876549582,0.8881341494046725,123.05675482749939
8,0.40368019992654974,0.5605614174800096,0.39183897426608544,0.3864478354270642,0.6125346259992888,0.4446627664708635,0.5213885033928333,0.7512167014509947,0.9616632706079729,121.76455688476562
9,0.3868986395272342,0.5672600940599749,0.39912177220752465,0.3915364879828233,0.6148231782036273,0.44672231556018943,0.5580586929971163,0.6894744362044629,0.9651835025885167,125.95554041862488
10,0.3787545724348588,0.5811965544287351,0.41165737756118764,0.5677320131888757,0.35207080566906424,0.2165324038607757,0.21753224692714815,0.9820264718327614,0.8401621305025541,124.97972750663757
11,0.3765292282808911,0.5776607500609802,0.4084787738813,0.41010217941724336,0.609271099210334,0.44222388440707683,0.589275163174549,0.6382094278924823,0.9673610100379357,127.14037418365479
12,0.3772646899927746,0.5805766377445483,0.4122345409207163,0.4186484401042645,0.5211613063476894,0.36508231242108113,0.38227457161503964,0.9076972697240345,0.9020930070143479,127.64658188819885
13,0.3734717057509856,0.5778343383617719,0.40854276441193316,0.37620551081804127,0.5494038524565533,0.38105435457729153,0.4022703231103252,0.8809150979463423,0.9411797645764473,120.93354606628418
14,0.37044132026759063,0.5915091333081598,0.42201413448581815,0.3524228013478793,0.6066677706047828,0.4391837926922981,0.48870664433095956,0.8144720719601578,0.9566089434501452,121.81723761558533
15,0.3615472682497718,0.592055473236856,0.4224688544764623,0.3591020772090325,0.5580007431725723,0.39244073369201965,0.4122518256591257,0.8968107174900672,0.938881849631285,111.84744572639465
16,0.3549549179998311,0.5998006048023042,0.43082784794359075,0.33813168223087603,0.5997702040135036,0.43080332978824953,0.46029698400251956,0.8709460718196833,0.9526331974909856,120.01246452331543
17,0.3524212396957658,0.6032932065521678,0.43466510694136784,0.33414026407095104,0.6243319760872322,0.4562016230881365,0.5028109243639253,0.8309354719096838,0.9597629644931891,129.1286289691925
18,0.3504645824432373,0.6018760447034976,0.4338109452631551,0.3931519824724931,0.5069508455261976,0.3432725070258279,0.35405783893546666,0.9224825300712509,0.9239410009139623,138.78785681724548
19,0.34885247119448404,0.6074056650737835,0.4388342578790572,0.32764933430231535,0.6387073411488223,0.4719675249159557,0.5345339289440111,0.8011724350448866,0.963232431656275,134.81574010849
20,0.34686478633772244,0.6051806553911144,0.4366048747348137,0.35042564227030826,0.6400686395740748,0.47340853830998303,0.564175374341284,0.7468474371105743,0.9661898001646384,132.12876844406128
21,0.3387714963067662,0.6177441757281267,0.44990162817254387,0.33045432888544524,0.617891977301356,0.4494343547361659,0.48859652954004634,0.8472349956093761,0.9577716436141576,120.52767419815063
22,0.34464745155789633,0.6071565907440422,0.4399071985116169,0.36237950966908383,0.5601692108441202,0.3913214336768728,0.4131875100203231,0.8843826576593938,0.9431253090882913,126.50067019462585
23,0.34992699189619586,0.6045365180864176,0.4369784505919577,0.326802521944046,0.6103711771847462,0.442250698089198,0.47764143988652585,0.8561030572720145,0.9555292863112229,130.4268753528595
24,0.3476834601976655,0.6083499431032977,0.4387125617042086,0.3617813724737901,0.6373807391171683,0.4715643717452424,0.5960733242746533,0.6947345940806195,0.9686666146302835,134.88316822052002
25,0.34099901806224475,0.6125036267876905,0.44466148064297445,0.325651806134444,0.6448903628745477,0.4781192634464979,0.5479207579651372,0.7900162254755292,0.9650767399714544,130.37816071510315
26,0.33550910177555954,0.6200556146380605,0.45165925568519544,0.3420867484349471,0.5904031327202589,0.42136231103030314,0.44699613744412037,0.8816452526154072,0.9501442542442908,135.09907364845276
27,0.33439139412208035,0.6194965615845546,0.45101055452935324,0.33253114498578584,0.6070576202900654,0.4385160740141504,0.4743250289604423,0.8539765327690598,0.955149185963166,120.26339721679688
28,0.337165197188204,0.6166276803107796,0.4491228969639576,0.350919083907054,0.5670796281499405,0.39967403412028574,0.42235834325512867,0.886258171296289,0.9434320498735477,116.15986728668213
