threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,balanced_accuracy
0.63,0.16279069767441862,0.4666666666666667,0.2413793103448276,0.9475218658892128,0.052478134110787174,0.5333333333333333,0.7070942662779398
0.64,0.21212121212121213,0.4666666666666667,0.2916666666666667,0.9620991253644315,0.037900874635568516,0.5333333333333333,0.7143828960155492
0.65,0.3181818181818182,0.4666666666666667,0.3783783783783784,0.978134110787172,0.021865889212827987,0.5333333333333333,0.7224003887269194
0.66,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.67,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.68,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.69,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.7,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.71,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.72,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.73,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.74,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.76,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.77,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.78,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.79,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.8,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.81,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.82,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.83,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.84,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.86,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.87,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.88,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.89,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.9,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.91,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.92,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.93,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.94,0.0,0.0,0.0,1.0,0.0,1.0,0.5
0.95,0.0,0.0,0.0,1.0,0.0,1.0,0.5
